Name,Phone No,Address,Website Link,Yellow Page Rating,Trip Advisor Rating
Hilton Garden Inn Los Angeles/Hollywood,(323) 876-8600,"2005 N Highland Ave, Los Angeles, CA 90068",https://www.hilton.com/en/hotels/laxhogi-hilton-garden-inn-los-angeles-hollywood/?SEO_id=YEXTN-AMER-GI-LAXHOGI&y_source=1_MjA4MjkxNS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
"Sunset West Hotel, SureStay Collection by Best Western",(323) 874-6700,"7212 W Sunset Blvd, Los Angeles, CA 90046",https://www.bestwestern.com/en_US/book/hotel-rooms.52011.html?iata=90000018&ssob=BLSSH0003G&cid=BLSSH0003G:yext:website:52011,0,3.5
SureStay by Best Western Beverly Hills West LA,(323) 692-1777,"7721 Beverly Blvd, Los Angeles, CA 90036",https://www.bestwestern.com/en_US/book/hotel-rooms.52012.html?iata=90000018&ssob=BLSSH0003G&cid=BLSSH0003G:yext:website:52012,0,3.0
The Moment Hotel,(323) 822-5030,"7370 W Sunset Blvd, Los Angeles, CA 90046",http://www.themomenthotel.com,0,4.0
Mr. C Beverly Hills,(310) 277-2800,"1224 Beverwil Dr, Los Angeles, CA 90035",http://www.hilton.com/en/hotels/laxmcol-cameo-beverly-hills,0,4.0
Fairmont Century Plaza Los Angeles at Beverly Hills,(310) 424-3030,"2025 Avenue Of The Stars, Los Angeles, CA 90067",https://www.fairmontcenturyplaza.com,0,5.0
Century Park Hotel,(310) 553-1000,"10330 W Olympic Blvd, Los Angeles, CA 90064",http://www.centuryparkla.com,0,4.0
Extended Stay America Los Angeles - LAX Airport,(310) 568-9337,"6531 S Sepulveda Blvd, Los Angeles, CA 90045",http://www.lax-airport.net,0,3.5
Holiday Inn Express Los Angeles - LAX Airport,(800) 345-8082,"8620 Airport Blvd, Los Angeles, CA 90045",https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=laxat&_PMID=99601036&cm_mmc=mdpr-_-yellowpages-_-ex-_-LAXAT&glat=MEDI,0,4.0
Hyatt Place Lax / Century Blvd,(310) 258-9000,"5959 W Century Blvd, Los Angeles, CA 90045",http://www.eatdrinkgreenleaf.com/locations/hyatt-lax,0,4.0
Homewood Suites by Hilton Los Angeles International Airport,(310) 215-3300,"6151 W Century Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxswhw-homewood-suites-los-angeles-international-airport/?SEO_id=YEXTN-AMER-HG-LAXSWHW&y_source=1_ODQyMDQ1NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
"H Hotel Los Angeles, Curio Collection by Hilton",(310) 215-3000,"6151 W Century Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxcaqq-h-hotel-los-angeles/?SEO_id=YEXTN-AMER-QQ-LAXCAQQ&y_source=1_ODQyMDQ2NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
W Los Angeles - West Beverly Hills,(310) 208-8765,"930 Hilgard Ave, Los Angeles, CA 90024",http://www.wlosangeles.com,0,4.0
Hotel Bel-Air,(310) 472-1211,"701 Stone Canyon Rd, Los Angeles, CA 90077",https://www.dorchestercollection.com,0,4.5
Hotel June West LA,(310) 645-0400,"8639 Lincoln Blvd, Los Angeles, CA 90045",https://www.thehoteljune.com/west-los-angeles/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,0,4.5
The Delphi Downtown LA,(213) 892-8080,"550 S Flower St, Los Angeles, CA 90071",https://www.thedelphihotel.com/?utm_medium=organic&utm_source=yext&utm_campaign=website,0,4.5
Travel Inn,(213) 484-9306,"401 S Westlake Ave, Los Angeles, CA 90057",https://www.travelinnla.com/en-us,0,3.0
Extended Stay America Los Angeles - LAX Airport,(310) 568-9337,"6531 S Sepulveda Blvd, Los Angeles, CA 90045",http://www.lax-airport.net,0,3.5
Holiday Inn Express Los Angeles - LAX Airport,(800) 345-8082,"8620 Airport Blvd, Los Angeles, CA 90045",https://www.hiexpress.com/redirect?path=hd&brandCode=ex&hotelCode=laxat&_PMID=99601036&cm_mmc=mdpr-_-yellowpages-_-ex-_-LAXAT&glat=MEDI,0,4.0
Best Western Royal Palace Inn & Suites,(310) 477-9066,"2528 S Sepulveda Blvd, Los Angeles, CA 90064",https://www.bestwestern.com/en_US/book/hotel-rooms.05268.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:05268,0,4.0
Residence Inn by Marriott Los Angeles LAX/Century Boulevard,(310) 568-7700,"5933 W Century Blvd, Los Angeles, CA 90045",https://www.marriott.com/en-us/hotels/laxax-residence-inn-los-angeles-lax-century-boulevard/overview,0,4.5
Hyatt Place Lax / Century Blvd,(310) 258-9000,"5959 W Century Blvd, Los Angeles, CA 90045",http://www.eatdrinkgreenleaf.com/locations/hyatt-lax,0,4.0
Homewood Suites by Hilton Los Angeles International Airport,(310) 215-3300,"6151 W Century Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxswhw-homewood-suites-los-angeles-international-airport/?SEO_id=YEXTN-AMER-HG-LAXSWHW&y_source=1_ODQyMDQ1NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
"H Hotel Los Angeles, Curio Collection by Hilton",(310) 215-3000,"6151 W Century Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxcaqq-h-hotel-los-angeles/?SEO_id=YEXTN-AMER-QQ-LAXCAQQ&y_source=1_ODQyMDQ2NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,0,4.0
W Los Angeles - West Beverly Hills,(310) 208-8765,"930 Hilgard Ave, Los Angeles, CA 90024",http://www.wlosangeles.com,0,4.0
Hyatt Regency Los Angeles International Airport,(424) 702-1234,"6225 W Century Blvd, Los Angeles, CA 90045",http://www.hyatt.com/en-US/hotel/california/hyatt-regency-los-angeles-international-airport/laxla,0,4.0
Hotel Bel-Air,(310) 472-1211,"701 Stone Canyon Rd, Los Angeles, CA 90077",https://www.dorchestercollection.com,0,4.5
Hotel June West LA,(310) 645-0400,"8639 Lincoln Blvd, Los Angeles, CA 90045",https://www.thehoteljune.com/west-los-angeles/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,0,4.5
The Delphi Downtown LA,(213) 892-8080,"550 S Flower St, Los Angeles, CA 90071",https://www.thedelphihotel.com/?utm_medium=organic&utm_source=yext&utm_campaign=website,0,4.5
Travel Inn,(213) 484-9306,"401 S Westlake Ave, Los Angeles, CA 90057",https://www.travelinnla.com/en-us,0,3.0
Metropolitan Inn & Suites,(951) 450-9513,"946 S Bonnie Brae St, Los Angeles, CA 90006",N/A,0,3.0
Autobank Rent a Car,(213) 388-4464,"2975 Wilshire Blvd Ste 350, Los Angeles, CA 90010",http://www.autobankrentacar.com/en,0,0.0
Aventura Hotel,(213) 386-1020,"1020 Fedora St, Los Angeles, CA 90006",http://theaventurahotel.com,0,4.0
Hollywood Banquet & Conf Ctr,(323) 315-1899,"1160 N Vermont Ave, Los Angeles, CA 90029",https://www.thehollywoodhotel.com/gatherings,0,0.0
Beverly Medrano - Babierge Independent Trusted Partner,(323) 318-0742,"3178 Verdugo Place, Los Angeles, CA 90065",http://www.babierge.com/beverly065,0,0.0
Anderson Estates,(404) 710-0454,"1932 Rochester Cir, Los Angeles, CA 90018",http://the-anderson-estates.los-angeles.thecaliforniahotels.com/en,0,3.0
The Villa Sophia,(213) 300-9055,"4565 Dundee Dr, Los Angeles, CA 90027",http://www.thevillasophia.com,0,0.0
The Argyle Hollywood,(323) 461-1600,"1600 Argyle Ave, Los Angeles, CA 90028",http://yellowpages.com/los-angeles-ca/mip/ramada-by-wyndham-los-angeles-koreatown-west-468355054,0,3.5
Hollywood Le Bon Hotel,(323) 465-3266,"1610 Argyle Ave, Los Angeles, CA 90028",https://hollywoodblvdhotel.com,0,3.0
El Rancho Motel,(562) 366-4606,"7428 S San Pedro St, Los Angeles, CA 90003",https://elranchomotelcalifornia.com/about.html,0,3.5
The Godfrey Hotel Hollywood,(323) 762-1000,"1400 N Cahuenga Blvd, Los Angeles, CA 90028",https://www.godfreyhotelhollywood.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,0,0.0
Baldwin Hills Motor Inn,(323) 732-0864,"3020 S La Brea Ave, Los Angeles, CA 90016",http://www.baldwinhillscenter.com,0,0.0
Bevonshire Lodge Motel,(323) 936-6154,"7575 Beverly Blvd, Los Angeles, CA 90036",http://www.bevonshire.com,0,3.0
excellenttripfinder.com,(310) 309-9273,"916 S Shenandoah St Apt 202, Los Angeles, CA 90035",http://excellenttripfindercom.localsearch.com,0,0.0
Four Seasons Los Angeles at Beverly Hills,(310) 786-2229,"300 S Doheny Dr, Los Angeles, CA 90048",http://www.fourseasons.com/losangeles,0,0.0
Fairmont Spa Century Plaza,(310) 424-3032,"2025 Avenue Of The Stars, Los Angeles, CA 90067",https://www.fairmontcenturyplaza.com/wellness,0,0.0
Hilton Garden Inn LAX Los Angeles Airport,(310) 645-2200,"5249 W Century Blvd, Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxxigi-hilton-garden-inn-lax-los-angeles-airport,0,0.0
